00:00:01, 125, 182, 1.0, 0, 0, 0, 0, 
00:00:93, 125, 182, 1.0, 0.0, 0, 0, 0, 
00:01:85, 125, 182, 1.0, 0.0, 0, 0, 0, 
00:02:78, 125, 182, 1.0, 0.0, 0, 0, 0, 
00:03:70, 125, 182, 1.0, 0.0, 0, 0, 0, 
00:04:62, 125, 182, 1.0, 0.0, 0, 0, 0, 
00:05:54, 125, 182, 1.0, 0.0, 0, 0, 0, 
00:06:48, 125, 182, 1.0, 0.0, 0, 0, 0, 
00:07:40, 125, 182, 1.0, 0.0, 0, 0, 0, 
00:08:32, 125, 182, 1.0, 0.0, 0, 0, 0, 
00:09:24, 125, 182, 1.0, 0.0, 0, 0, 0, 
00:10:16, 125, 182, 1.0, 0.0, 0, 0, 0, 
00:11:07, 125, 182, 1.0, 0.0, 1, 0, 0, 
00:11:99, 125, 182, 1.0, 0.0, 1, 0, 0, 
00:12:91, 125, 182, 1.0, 0.0, 1, 0, 0, 
00:13:83, 125, 182, 1.0, 0.0, 1, 0, 0, 
00:14:75, 125, 182, 1.0, 0.0, 1, 0, 0, 
00:15:67, 125, 182, 1.0, 0.0, 1, 0, 0, 
00:16:59, 125, 182, 1.0, 0.0, 1, 0, 0, 
00:17:52, 125, 182, 1.0, 0.01, 1, 0, 0, 
00:18:44, 125, 182, 1.0, 0.01, 1, 0, 0, 
00:19:36, 125, 182, 1.0, 0.01, 1, 0, 0, 
00:20:28, 125, 182, 1.0, 0.01, 1, 0, 0, 
00:21:20, 125, 182, 1.0, 0.01, 2, 0, 0, 
00:22:12, 125, 182, 1.0, 0.01, 2, 0, 0, 
00:23:04, 125, 182, 1.0, 0.01, 2, 0, 0, 
00:23:96, 125, 182, 1.0, 0.01, 2, 0, 0, 
00:24:88, 125, 182, 1.0, 0.01, 2, 0, 0, 
00:25:80, 125, 182, 1.0, 0.01, 2, 0, 0, 
00:26:72, 125, 182, 1.0, 0.01, 2, 0, 0, 
00:27:64, 125, 182, 1.0, 0.01, 2, 0, 0, 
00:28:56, 125, 182, 1.0, 0.01, 2, 0, 0, 
00:29:49, 125, 182, 1.0, 0.01, 2, 0, 0, 
00:30:41, 125, 182, 1.0, 0.01, 3, 0, 0, 
